sound_id,format,rate,sample_width,channels,sample_count,payload_bytes,file
1,2,11025,2,1,1663,626,sound_0001.mp3
2,2,11025,2,1,11236,2498,sound_0002.mp3
3,2,11025,2,1,24145,4890,sound_0003.mp3
4,2,11025,2,1,44096,8426,sound_0004.mp3
5,2,11025,2,1,6048,1562,sound_0005.mp3
6,2,11025,2,1,24320,4890,sound_0006.mp3
7,2,11025,2,1,18624,3850,sound_0007.mp3
8,2,11025,2,1,6615,1666,sound_0008.mp3
9,2,11025,2,1,20948,4266,sound_0009.mp3
10,2,11025,2,1,6784,1666,sound_0010.mp3
11,2,11025,2,1,21069,4266,sound_0011.mp3
12,2,11025,2,1,12795,2810,sound_0012.mp3
13,2,11025,2,1,3425,1146,sound_0013.mp3
14,2,11025,2,1,16395,3434,sound_0014.mp3
15,2,11025,2,1,15147,3226,sound_0015.mp3
16,2,11025,2,1,4238,1250,sound_0016.mp3
17,2,11025,2,1,6485,1666,sound_0017.mp3
18,2,11025,2,1,6818,1562,sound_0018.mp3
19,2,44100,2,2,1393920,505733,sound_0019.mp3
20,2,11025,2,1,4117,1250,sound_0020.mp3
123,2,11025,2,1,3556,1146,sound_0123.mp3
132,2,11025,2,1,5904,1562,sound_0132.mp3
399,2,11025,2,1,6565,1666,sound_0399.mp3
412,2,22050,2,2,103680,75363,sound_0412.mp3
418,2,22050,2,2,106560,77324,sound_0418.mp3
496,2,11025,2,1,15019,3226,sound_0496.mp3
502,2,11025,2,1,11985,2498,sound_0502.mp3
518,2,11025,2,1,33198,6450,sound_0518.mp3
520,2,11025,2,1,18081,3746,sound_0520.mp3
540,2,11025,2,1,5512,1458,sound_0540.mp3
551,2,11025,2,1,1057,522,sound_0551.mp3
684,2,11025,2,1,3303,1042,sound_0684.mp3
810,2,11025,2,1,5071,1250,sound_0810.mp3
879,2,11025,2,1,2888,1042,sound_0879.mp3
1145,2,11025,2,1,18389,3850,sound_1145.mp3
1196,2,11025,2,1,50290,9570,sound_1196.mp3
1296,2,11025,2,1,31458,6138,sound_1296.mp3
